tStep	n= 1 l= 0   	n= 2 l= 0   	n= 2 l= 1   	n= 3 l= 0   	n= 3 l= 1   	n= 3 l= 2   	n= 4 l= 0   	n= 4 l= 1   	n= 4 l= 2   	n= 4 l= 3   	n= 5 l= 0   	n= 5 l= 1   	n= 5 l= 2   	n= 5 l= 3   	n= 5 l= 4   	n= 6 l= 0   	n= 6 l= 1   	n= 6 l= 2   	n= 6 l= 3   	n= 6 l= 4   	n= 6 l= 5   	n= 1        	n= 2        	n= 3        	n= 4        	n= 5        	n= 6        	oInt        	bInt        	tInt 
00349	0.422989E+00	0.534475E-01	0.251475E+00	0.990233E-02	0.227810E-01	0.259365E-01	0.329100E-02	0.574102E-02	0.114977E-01	0.394092E-03	0.148837E-02	0.228639E-02	0.581970E-02	0.300605E-03	0.156887E-05	0.802159E-03	0.115247E-02	0.332276E-02	0.204503E-03	0.165779E-05	0.225377E-08	0.422989E+00	0.304922E+00	0.586198E-01	0.209238E-01	0.989664E-02	0.548355E-02	0.822835E+00	0.158963E+00	0.981798E+00 
00359	0.374679E+00	0.105610E+00	0.139738E+00	0.127315E-01	0.113496E-01	0.375981E-01	0.354765E-02	0.517115E-02	0.142813E-01	0.150814E-02	0.146951E-02	0.283427E-02	0.674035E-02	0.109070E-02	0.170632E-04	0.753563E-03	0.170146E-02	0.370774E-02	0.720962E-03	0.175275E-04	0.730544E-07	0.374679E+00	0.245348E+00	0.616792E-01	0.245082E-01	0.121519E-01	0.690132E-02	0.725268E+00	0.250385E+00	0.975652E+00 
00369	0.356874E+00	0.119285E+00	0.473670E-01	0.871750E-02	0.215852E-01	0.334551E-01	0.217437E-02	0.116074E-01	0.100101E-01	0.271269E-02	0.881987E-03	0.628903E-02	0.427183E-02	0.182808E-02	0.627002E-04	0.452272E-03	0.370903E-02	0.223685E-02	0.116382E-02	0.624355E-04	0.531515E-06	0.356874E+00	0.166652E+00	0.637577E-01	0.265046E-01	0.133336E-01	0.762494E-02	0.634747E+00	0.332449E+00	0.967196E+00 
00379	0.355904E+00	0.106161E+00	0.987518E-02	0.744859E-02	0.298550E-01	0.251531E-01	0.244880E-02	0.142673E-01	0.566054E-02	0.331543E-02	0.116884E-02	0.734593E-02	0.215805E-02	0.207767E-02	0.122176E-03	0.656593E-03	0.422106E-02	0.108140E-02	0.127198E-02	0.118219E-03	0.147499E-05	0.355904E+00	0.116036E+00	0.624567E-01	0.256921E-01	0.128727E-01	0.735073E-02	0.580312E+00	0.379986E+00	0.960297E+00 
00389	0.358942E+00	0.954066E-01	0.227506E-02	0.829051E-02	0.306501E-01	0.212131E-01	0.314219E-02	0.138685E-01	0.394601E-02	0.349961E-02	0.156464E-02	0.699249E-02	0.139545E-02	0.210394E-02	0.159463E-03	0.893460E-03	0.397719E-02	0.685450E-03	0.125900E-02	0.152021E-03	0.219218E-05	0.358942E+00	0.976817E-01	0.601538E-01	0.244563E-01	0.122160E-01	0.696932E-02	0.560419E+00	0.396622E+00	0.957042E+00 
00399	0.356601E+00	0.987702E-01	0.406549E-02	0.790444E-02	0.308084E-01	0.224199E-01	0.288249E-02	0.141759E-01	0.446304E-02	0.343739E-02	0.142172E-02	0.719374E-02	0.162193E-02	0.209559E-02	0.146461E-03	0.809211E-03	0.410449E-02	0.801865E-03	0.126375E-02	0.140308E-03	0.192955E-05	0.356601E+00	0.102836E+00	0.611327E-01	0.249588E-01	0.124794E-01	0.712155E-02	0.565130E+00	0.392859E+00	0.957988E+00 
00409	0.340573E+00	0.111316E+00	0.248916E-01	0.746152E-02	0.283619E-01	0.292821E-01	0.207104E-02	0.142820E-01	0.784184E-02	0.294220E-02	0.910715E-03	0.752436E-02	0.320882E-02	0.191997E-02	0.864319E-04	0.490993E-03	0.437507E-02	0.165218E-02	0.120168E-02	0.849046E-04	0.865621E-06	0.340573E+00	0.136208E+00	0.651056E-01	0.271371E-01	0.136503E-01	0.780570E-02	0.590480E+00	0.371908E+00	0.962388E+00 
00419	0.305116E+00	0.105870E+00	0.110821E+00	0.109222E-01	0.191834E-01	0.367146E-01	0.292396E-02	0.975510E-02	0.138437E-01	0.157182E-02	0.119451E-02	0.533179E-02	0.654561E-02	0.112565E-02	0.218271E-04	0.608932E-03	0.317280E-02	0.361048E-02	0.740619E-03	0.222632E-04	0.126042E-06	0.305116E+00	0.216691E+00	0.668201E-01	0.280946E-01	0.142194E-01	0.815523E-02	0.639096E+00	0.330167E+00	0.969263E+00 
00429	0.254440E+00	0.506262E-01	0.292401E+00	0.907092E-02	0.296116E-01	0.255943E-01	0.315267E-02	0.825278E-02	0.130921E-01	0.152556E-03	0.147389E-02	0.350316E-02	0.706844E-02	0.119849E-03	0.514318E-06	0.811611E-03	0.183604E-02	0.417807E-02	0.829524E-04	0.546218E-06	0.766309E-08	0.254440E+00	0.343027E+00	0.642768E-01	0.246501E-01	0.121658E-01	0.690923E-02	0.705469E+00	0.273163E+00	0.978631E+00 
00439	0.206593E+00	0.231210E-03	0.441824E+00	0.111971E-03	0.545235E-01	0.150304E-01	0.918213E-04	0.149632E-01	0.756713E-02	0.786663E-04	0.576418E-04	0.613883E-02	0.409067E-02	0.625782E-04	0.136929E-06	0.365885E-04	0.313137E-02	0.242541E-02	0.435370E-04	0.149046E-06	0.887018E-09	0.206593E+00	0.442055E+00	0.696658E-01	0.227008E-01	0.103499E-01	0.563705E-02	0.757001E+00	0.224931E+00	0.981932E+00 
00449	0.180467E+00	0.522229E-01	0.373030E+00	0.134903E-01	0.236896E-01	0.539460E-01	0.484563E-02	0.491891E-02	0.201895E-01	0.855045E-03	0.226697E-02	0.176765E-02	0.940246E-02	0.587555E-03	0.240863E-05	0.124444E-02	0.841006E-03	0.512592E-02	0.377095E-03	0.232992E-05	0.266051E-08	0.180467E+00	0.425253E+00	0.911259E-01	0.308091E-01	0.140270E-01	0.759079E-02	0.749273E+00	0.223085E+00	0.972358E+00 
00459	0.177814E+00	0.146244E+00	0.174436E+00	0.222269E-01	0.341324E-02	0.869705E-01	0.726549E-02	0.232565E-02	0.276964E-01	0.418121E-02	0.331680E-02	0.136045E-02	0.121875E-01	0.269921E-02	0.519423E-04	0.180652E-02	0.824524E-03	0.647837E-02	0.167930E-02	0.485398E-04	0.348229E-06	0.177814E+00	0.320680E+00	0.112611E+00	0.414687E-01	0.196159E-01	0.108376E-01	0.683027E+00	0.279893E+00	0.962920E+00 
00469	0.186301E+00	0.179945E+00	0.444461E-01	0.114673E-01	0.307918E-01	0.753815E-01	0.312342E-02	0.148535E-01	0.192472E-01	0.727142E-02	0.134642E-02	0.758628E-02	0.793413E-02	0.443891E-02	0.188321E-03	0.715959E-03	0.433554E-02	0.411386E-02	0.270250E-02	0.168836E-03	0.286459E-05	0.186301E+00	0.224391E+00	0.117641E+00	0.444955E-01	0.214941E-01	0.120396E-01	0.606362E+00	0.352045E+00	0.958407E+00 
00479	0.194777E+00	0.167648E+00	0.698188E-02	0.363028E-02	0.519629E-01	0.567891E-01	0.630915E-03	0.223478E-01	0.113578E-01	0.809703E-02	0.217068E-03	0.110731E-01	0.431901E-02	0.475320E-02	0.307558E-03	0.102368E-03	0.624699E-02	0.217166E-02	0.285895E-02	0.264857E-03	0.699946E-05	0.194777E+00	0.174630E+00	0.112382E+00	0.424335E-01	0.206699E-01	0.116518E-01	0.556545E+00	0.398313E+00	0.954858E+00 
00489	0.198429E+00	0.156796E+00	0.309209E-02	0.197751E-02	0.568929E-01	0.500721E-01	0.210942E-03	0.238670E-01	0.871801E-02	0.814089E-02	0.451816E-04	0.117340E-01	0.312777E-02	0.471116E-02	0.353106E-03	0.142640E-04	0.659230E-02	0.153839E-02	0.282215E-02	0.298899E-03	0.912823E-05	0.198429E+00	0.159888E+00	0.108942E+00	0.409368E-01	0.199712E-01	0.112751E-01	0.539443E+00	0.413706E+00	0.953149E+00 
00499	0.195529E+00	0.164625E+00	0.510723E-02	0.306128E-02	0.536600E-01	0.546264E-01	0.474536E-03	0.228989E-01	0.105570E-01	0.807616E-02	0.150048E-03	0.113221E-01	0.396145E-02	0.472291E-02	0.319692E-03	0.670183E-04	0.638070E-02	0.198177E-02	0.283833E-02	0.273832E-03	0.756223E-05	0.195529E+00	0.169732E+00	0.111348E+00	0.420066E-01	0.204762E-01	0.115492E-01	0.550641E+00	0.403610E+00	0.954251E+00 
00509	0.185286E+00	0.179787E+00	0.292125E-01	0.961558E-02	0.364097E-01	0.704428E-01	0.251191E-02	0.169278E-01	0.176188E-01	0.718444E-02	0.106647E-02	0.856906E-02	0.725721E-02	0.436014E-02	0.204286E-03	0.563073E-03	0.488045E-02	0.376898E-02	0.265263E-02	0.181319E-03	0.345536E-05	0.185286E+00	0.209000E+00	0.116468E+00	0.442430E-01	0.214572E-01	0.120499E-01	0.588504E+00	0.368603E+00	0.957107E+00 
